"Title: Adults Who Report Smoking by Sex | KFF"
"Timeframe: 2016"
"Location","All Adults","Male","Female",Footnotes
"United States","0.164","0.186","0.143","1"
"Alabama","0.215","0.233","0.200"
"Alaska","0.190","0.212","0.166"
"Arizona","0.147","0.175","0.121"
"Arkansas","0.236","0.248","0.225"
"California","0.110","0.138","0.082"
"Colorado","0.156","0.177","0.135"
"Connecticut","0.133","0.148","0.120"
"Delaware","0.177","0.190","0.164"
"District of Columbia","0.147","0.177","0.121"
"Florida","0.155","0.178","0.133"
"Georgia","0.179","0.212","0.148"
"Hawaii","0.131","0.151","0.109"
"Idaho","0.145","0.147","0.143"
"Illinois","0.158","0.187","0.130"
"Indiana","0.211","0.236","0.188"
"Iowa","0.167","0.177","0.158"
"Kansas","0.172","0.187","0.157"
"Kentucky","0.245","0.250","0.240"
"Louisiana","0.228","0.255","0.202"
"Maine","0.198","0.216","0.180"
"Maryland","0.137","0.156","0.119"
"Massachusetts","0.136","0.155","0.119"
"Michigan","0.204","0.223","0.187"
"Minnesota","0.152","0.166","0.139"
"Mississippi","0.227","0.243","0.213"
"Missouri","0.221","0.245","0.199"
"Montana","0.185","0.198","0.173"
"Nebraska","0.170","0.186","0.154"
"Nevada","0.165","0.189","0.141"
"New Hampshire","0.180","0.185","0.176"
"New Jersey","0.140","0.149","0.131"
"New Mexico","0.166","0.194","0.140"
"New York","0.142","0.167","0.119"
"North Carolina","0.179","0.207","0.153"
"North Dakota","0.198","0.223","0.171"
"Ohio","0.225","0.247","0.205"
"Oklahoma","0.196","0.214","0.179"
"Oregon","0.162","0.181","0.144"
"Pennsylvania","0.180","0.201","0.160"
"Rhode Island","0.144","0.169","0.122"
"South Carolina","0.200","0.229","0.174"
"South Dakota","0.181","0.211","0.151"
"Tennessee","0.221","0.239","0.204"
"Texas","0.143","0.173","0.113"
"Utah","0.088","0.104","0.071"
"Vermont","0.170","0.195","0.147"
"Virginia","0.153","0.170","0.137"
"Washington","0.139","0.160","0.119"
"West Virginia","0.248","0.258","0.239"
"Wisconsin","0.171","0.180","0.162"
"Wyoming","0.189","0.188","0.191"
"Guam","0.251","0.331","0.170"
"Puerto Rico","0.106","0.136","0.080"
"U.S. Virgin Islands","0.066","NSD","NSD"

"Notes"
"Data represent adults who reported that they currently smoke every day or some days. Percentages are weighted to reflect population characteristics."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2020 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"


Footnotes
"1. US totals exclude data from the territories."
