"Title: Adults Who Report Smoking by Sex | KFF"
"Timeframe: 2017"
"Location","All Adults","Male","Female",Footnotes
"United States","0.164","0.186","0.143","1"
"Alabama","0.209","0.234","0.187"
"Alaska","0.210","0.242","0.171"
"Arizona","0.156","0.183","0.129"
"Arkansas","0.223","0.228","0.216"
"California","0.113","0.149","0.078"
"Colorado","0.146","0.166","0.126"
"Connecticut","0.127","0.141","0.115"
"Delaware","0.170","0.179","0.162"
"District of Columbia","0.145","0.171","0.122"
"Florida","0.161","0.188","0.135"
"Georgia","0.175","0.209","0.143"
"Hawaii","0.128","0.161","0.094"
"Idaho","0.143","0.157","0.131"
"Illinois","0.155","0.173","0.138"
"Indiana","0.218","0.235","0.202"
"Iowa","0.171","0.185","0.158"
"Kansas","0.174","0.183","0.164"
"Kentucky","0.246","0.270","0.224"
"Louisiana","0.231","0.254","0.210"
"Maine","0.173","0.205","0.143"
"Maryland","0.138","0.160","0.119"
"Massachusetts","0.137","0.148","0.126"
"Michigan","0.193","0.218","0.169"
"Minnesota","0.145","0.163","0.128"
"Mississippi","0.222","0.222","0.221"
"Missouri","0.208","0.216","0.200"
"Montana","0.172","0.175","0.168"
"Nebraska","0.154","0.164","0.145"
"Nevada","0.176","0.194","0.158"
"New Hampshire","0.157","0.168","0.145"
"New Jersey","0.137","0.161","0.115"
"New Mexico","0.175","0.206","0.145"
"New York","0.141","0.175","0.109"
"North Carolina","0.172","0.192","0.154"
"North Dakota","0.183","0.194","0.171"
"Ohio","0.211","0.224","0.199"
"Oklahoma","0.201","0.212","0.192"
"Oregon","0.161","0.181","0.142"
"Pennsylvania","0.187","0.208","0.169"
"Rhode Island","0.150","0.172","0.129"
"South Carolina","0.188","0.218","0.160"
"South Dakota","0.193","0.221","0.165"
"Tennessee","0.226","0.243","0.211"
"Texas","0.157","0.178","0.136"
"Utah","0.089","0.110","0.068"
"Vermont","0.158","0.170","0.147"
"Virginia","0.164","0.184","0.144"
"Washington","0.135","0.148","0.122"
"West Virginia","0.260","0.251","0.269"
"Wisconsin","0.160","0.171","0.150"
"Wyoming","0.187","0.190","0.184"
"Guam","0.264","0.300","0.225"
"Puerto Rico","0.113","0.169","0.064"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data represent adults who reported that they currently smoke every day or some days. Percentages are weighted to reflect population characteristics."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2020 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
